company_id,from_year,to_year,from_pattern,to_pattern
JSWSTEEL,2013.0,2014,Deleverager,Reinvestor
JSWSTEEL,2014.0,2015,Reinvestor,Deleverager
JSWSTEEL,2018.0,2019,Deleverager,Reinvestor
JSWSTEEL,2020.0,2021,Reinvestor,Deleverager
KOTAKBANK,2013.0,2014,Reinvestor,Deleverager
KOTAKBANK,2014.0,2015,Deleverager,Reinvestor
KOTAKBANK,2017.0,2018,Reinvestor,Distress Signal
KOTAKBANK,2018.0,2019,Distress Signal,Reinvestor
KOTAKBANK,2019.0,2020,Reinvestor,Deleverager
KOTAKBANK,2021.0,2022,Deleverager,Reinvestor
KOTAKBANK,2022.0,2023,Reinvestor,Distress Signal
KOTAKBANK,2023.0,2024,Distress Signal,Reinvestor
LICI,2019.0,2020,Shareholder Returns,Deleverager
LICI,2020.0,2021,Deleverager,Shareholder Returns
LICI,2021.0,2022,Shareholder Returns,Cash Burner
LICI,2022.0,2023,Cash Burner,Deleverager
LODHA,2016.0,2017,Reinvestor,Deleverager
LODHA,2017.0,2018,Deleverager,Reinvestor
LODHA,2018.0,2019,Reinvestor,Distress Signal
LODHA,2019.0,2020,Distress Signal,Shareholder Returns
LODHA,2023.0,2024,Shareholder Returns,Reinvestor
LT,2016.0,2017,Distress Signal,Reinvestor
LT,2017.0,2018,Reinvestor,Distress Signal
LT,2019.0,2020,Distress Signal,Reinvestor
LT,2020.0,2021,Reinvestor,Deleverager
LT,2023.0,2024,Deleverager,Shareholder Returns
LTIM,2013.0,2014,Deleverager,Shareholder Returns
LTIM,2014.0,2015,Shareholder Returns,Deleverager
M&M,2014.0,2015,Distress Signal,Reinvestor
M&M,2018.0,2019,Reinvestor,Distress Signal
M&M,2020.0,2021,Distress Signal,Reinvestor
M&M,2021.0,2022,Reinvestor,Deleverager
M&M,2022.0,2023,Deleverager,Distress Signal
MOTHERSON,2014.0,2015,Deleverager,Reinvestor
MOTHERSON,2015.0,2016,Reinvestor,Deleverager
MOTHERSON,2016.0,2017,Deleverager,Reinvestor
MOTHERSON,2017.0,2018,Reinvestor,Deleverager
MOTHERSON,2023.0,2024,Deleverager,Reinvestor
NAUKRI,2013.0,2014,Deleverager,Reinvestor
NAUKRI,2015.0,2016,Reinvestor,Deleverager
NAUKRI,2019.0,2020,Deleverager,Shareholder Returns
NAUKRI,2020.0,2021,Shareholder Returns,Reinvestor
NESTLEIND,2018.0,2019,Deleverager,Shareholder Returns
NESTLEIND,2019.0,2020,Shareholder Returns,Deleverager
NHPC,2019.0,2020,Deleverager,Reinvestor
NHPC,2020.0,2021,Reinvestor,Deleverager
NTPC,2013.0,2014,Reinvestor,Deleverager
NTPC,2016.0,2017,Deleverager,Reinvestor
NTPC,2020.0,2021,Reinvestor,Deleverager
ONGC,2013.0,2014,Deleverager,Reinvestor
ONGC,2014.0,2015,Reinvestor,Deleverager
ONGC,2017.0,2018,Deleverager,Reinvestor
ONGC,2018.0,2019,Reinvestor,Deleverager
PFC,2016.0,2017,Distress Signal,Reinvestor
PFC,2017.0,2018,Reinvestor,Distress Signal
PFC,2021.0,2022,Distress Signal,Deleverager
PFC,2022.0,2023,Deleverager,Distress Signal
PIDILITIND,2016.0,2017,Deleverager,Reinvestor
PIDILITIND,2017.0,2018,Reinvestor,Shareholder Returns
